seqID,District
5378A-EPHI-2,Ahferom
5599T-EPHI-1,Gulomekeda
2585A-EPHI-1,Itang
3786T-EPHI-1,K_Humera
4141T-EPHI-1,L_Adiabo
2049A-EPHI-2,Metema
2079A-EPHI-2,Metema
2855A-EPHI-2,Metema
2912A-EPHI-2,Metema
2933A-EPHI-2,Metema
5790T-EPHI-1,T_Adiabo
5774T-EPHI-1,T_Adiado
2596A-EPHI-1,Tegede
2616A-EPHI-2,Tegede
2643A-EPHI-2,Tegede
2644A-EPHI-2,Tegede
2647A-EPHI-2,Tegede
2653A-EPHI-2,Tegede
2657A-EPHI-2,Tegede
2662A-EPHI-2,Tegede
2664A-EPHI-2,Tegede
2665A-EPHI-2,Tegede
2676A-EPHI-2,Tegede
2678A-EPHI-2,Tegede
2679A-EPHI-2,Tegede
2703A-EPHI-2,Tegede
2726A-EPHI-2,Tegede
2867A-EPHI-2,Tegede
2688A-EPHI-2,Tegede
2732A-EPHI-2,Tegede
2241A-EPHI-1,West_ Armachiho
