sample_id,Region,Latitude,Longitude
1409A,Am,12.954,36.157
1410A,Am,12.954,36.157
1405A,Am,12.954,36.157
1084A,Am,12.954,36.157
1095A,Am,12.954,36.157
1111A,Am,12.954,36.157
1113A,Am,12.954,36.157
1126DA,Am,12.954,36.157
1135A,Am,12.954,36.157
1318A,Am,12.954,36.157
1343A,Am,12.954,36.157
1344A,Am,12.954,36.157
E18-1365G,Am,12.954,36.157
1366DA,Am,12.954,36.157
1367A,Am,12.954,36.157
1402A,Am,12.954,36.157
1408A,Am,12.954,36.157
1411DA,Am,12.954,36.157
1425A,Am,12.954,36.157
1106A,Am,12.954,36.157
1345A,Am,12.954,36.157
1364A,Am,12.954,36.157
1340A,Am,12.954,36.157
1123A,Am,12.954,36.157
1117A,Am,12.954,36.157
1418DA,Am,12.954,36.157
1326A,Am,12.954,36.157
1324A,Am,12.954,36.157
1062A,Am,12.954,36.157
1414A,Am,12.954,36.157
1137A,Am,12.954,36.157
1323A,Am,12.954,36.157
1319A,Am,12.954,36.157
E18-1370G,Am,12.954,36.157
1348A,Am,12.954,36.157
1132A,Am,12.954,36.157
1415A,Am,12.954,36.157
1349A,Am,12.954,36.157
1399A,Am,12.954,36.157
1412A,Am,12.954,36.157
1322A,Am,12.954,36.157
1424A,Am,12.954,36.157
1140A,Am,12.954,36.157
1419A,Am,12.954,36.157
1090A,Am,12.954,36.157
1416A,Am,12.954,36.157
1394A,Am,12.954,36.157
1316A,Am,12.954,36.157
1064A,Am,12.954,36.157
1390A,Am,12.954,36.157
1067A,Am,12.954,36.157
1083A,Am,12.954,36.157
1359A,Am,12.954,36.157
1356A,Am,12.954,36.157
E18-1358G,Am,12.954,36.157
1338A,Am,12.954,36.157
1071A,Am,12.954,36.157
E18-1426G,Am,12.954,36.157
1073A,Am,12.954,36.157
E18-1363G,Am,12.954,36.157
1346A,Am,12.954,36.157
E18-1362G,Am,12.954,36.157
1074A,Am,12.954,36.157
1088A,Am,12.954,36.157
1333A,Am,12.954,36.157
1114DA,Am,12.954,36.157
1124A,Am,12.954,36.157
1116A,Am,12.954,36.157
1145A,Am,12.954,36.157
1139A,Am,12.954,36.157
1400A,Am,12.954,36.157
1142A,Am,12.954,36.157
1086A,Am,12.954,36.157
1122A,Am,12.954,36.157
1141A,Am,12.954,36.157
1102A,Am,12.954,36.157
1096A,Am,12.954,36.157
1391A,Am,12.954,36.157
1112A,Am,12.954,36.157
1119A,Am,12.954,36.157
1339A,Am,12.954,36.157
1103A,Am,12.954,36.157
1104A,Am,12.954,36.157
1334A,Am,12.954,36.157
1337A,Am,12.954,36.157
1100A,Am,12.954,36.157
1352A,Am,12.954,36.157
1325A,Am,12.954,36.157
1143A,Am,12.954,36.157
1087A,Am,12.954,36.157
1336A,Am,12.954,36.157
1401A,Am,12.954,36.157
1396A,Am,12.954,36.157
1081A,Am,12.954,36.157
2157A,Am,12.954,36.157
1075A,Am,12.954,36.157
1125A,Am,12.954,36.157
1407A,Am,12.954,36.157
1398A,Am,12.954,36.157
1351A,Am,12.954,36.157
1127A,Am,12.954,36.157
1078A,Am,12.954,36.157
1129A,Am,12.954,36.157
1092A,Am,12.954,36.157
1130A,Am,12.954,36.157
1121A,Am,12.954,36.157
1082A,Am,12.954,36.157
1065A,Am,12.954,36.157
E18-1357G,Am,12.954,36.157
1128A,Am,12.954,36.157
1355A,Am,12.954,36.157
1341A,Am,12.954,36.157
1354A,Am,12.954,36.157
E18-1361DG,Am,12.954,36.157
1331DA,Am,12.954,36.157
1072A,Am,12.954,36.157
1077A,Am,12.954,36.157
1332A,Am,12.954,36.157
1118A,Am,12.954,36.157
1085A,Am,12.954,36.157
1089A,Am,12.954,36.157
1138A,Am,12.954,36.157
1312A,Am,12.954,36.157
1109A,Am,12.954,36.157
1099A,Am,12.954,36.157
1134A,Am,12.954,36.157
1313A,Am,12.954,36.157
1120A,Am,12.954,36.157
1294A,Am,12.954,36.157
1315A,Am,12.954,36.157
1133A,Am,12.954,36.157
1091A,Am,12.954,36.157
1290A,Am,12.954,36.157
1136A,Am,12.954,36.157
1327A,Am,12.954,36.157
1321A,Am,12.954,36.157
1320A,Am,12.954,36.157
1107A,Am,12.954,36.157
1097A,Am,12.954,36.157
1144A,Am,12.954,36.157
1330A,Am,12.954,36.157
1397A,Am,12.954,36.157
1063A,Am,12.954,36.157
1068A,Am,12.954,36.157
1066A,Am,12.954,36.157
